division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
49,(Inactive) Men's Masters (35-39) 56 kg,2025-08-09T22:12:10.524Z,4,4,4,0,UPLOAD_STARTED,51
50,(Inactive) Men's Masters (35-39) 62 kg,2025-08-09T22:13:07.181Z,10,10,10,0,UPLOAD_STARTED,52
51,(Inactive) Men's Masters (35-39) 69 kg,2025-08-09T22:14:05.234Z,21,21,21,0,UPLOAD_STARTED,53
52,(Inactive) Men's Masters (35-39) 77 kg,2025-08-09T22:15:43.804Z,63,63,63,0,UPLOAD_STARTED,94
53,(Inactive) Men's Masters (35-39) 85 kg,2025-08-09T22:17:43.764Z,93,93,93,0,UPLOAD_STARTED,115
54,(Inactive) Men's Masters (35-39) 94 kg,2025-08-09T22:20:05.791Z,131,131,131,0,UPLOAD_STARTED,137
55,(Inactive) Men's Masters (35-39) 105 kg,2025-08-09T22:22:06.293Z,99,98,98,0,UPLOAD_STARTED,116
56,(Inactive) Men's Masters (35-39) +105 kg,2025-08-09T22:23:45.718Z,69,69,69,0,UPLOAD_STARTED,94
_2021
1,(Inactive) Women's Masters (70-74) 45kg,2025-08-10T02:10:36.210Z,0,0,0,NO_UPLOAD_NEEDED,1754791695327,NaN
2,(Inactive) Women's Masters (70-74) 49kg,2025-08-10T02:11:48.338Z,0,0,0,NO_UPLOAD_NEEDED,1754791841248,NaN
3,(Inactive) Women's Masters (70-74) 55kg,2025-08-10T02:12:55.738Z,4,4,4,0,UPLOAD_STARTED,62
4,(Inactive) Women's Masters (70-74) 59kg,2025-08-10T02:14:02.183Z,Unknown,1,1,0,UPLOAD_STARTED,61
5,(Inactive) Women's Masters (70-74) 64kg,2025-08-10T02:15:08.401Z,0,0,0,NO_UPLOAD_NEEDED,1754792047270,NaN
6,(Inactive) Women's Masters (70-74) 71kg,2025-08-10T02:16:15.857Z,Unknown,1,1,0,UPLOAD_STARTED,62
7,(Inactive) Women's Masters (70-74) 76kg,2025-08-10T02:17:23.140Z,0,0,0,NO_UPLOAD_NEEDED,1754792180909,NaN
