division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
50,(Inactive) Men's 16-17 Age Group 81kg,2025-08-10T13:21:28.650Z,119,119,119,0,UPLOAD_STARTED,134
51,(Inactive) Men's 16-17 Age Group 89kg,2025-08-10T13:23:22.296Z,77,77,77,0,UPLOAD_STARTED,109
52,(Inactive) Men's 16-17 Age Group 96kg,2025-08-10T13:24:58.681Z,45,45,45,0,UPLOAD_STARTED,91
53,(Inactive) Men's 16-17 Age Group 102kg,2025-08-10T13:26:31.913Z,34,34,34,0,UPLOAD_STARTED,88
54,(Inactive) Men's 16-17 Age Group +102kg,2025-08-10T13:28:06.949Z,42,42,42,0,UPLOAD_STARTED,90
55,(Inactive) Junior Women's 48 kg,2025-08-10T13:29:32.674Z,56,56,56,0,UPLOAD_STARTED,81
56,(Inactive) Junior Women's 53 kg,2025-08-10T13:32:16.411Z,141,140,140,0,UPLOAD_STARTED,159
57,(Inactive) Junior Women's 58 kg,2025-08-10T13:36:17.929Z,225,223,223,0,UPLOAD_STARTED,237
58,(Inactive) Junior Women's 63 kg,2025-08-10T13:40:52.052Z,282,277,277,0,UPLOAD_STARTED,269
59,(Inactive) Junior Women's 69 kg,2025-08-10T13:44:48.034Z,241,241,241,0,UPLOAD_STARTED,231
60,(Inactive) Junior Women's 75 kg,2025-08-10T13:47:52.002Z,180,179,179,0,UPLOAD_STARTED,179
61,(Inactive) Junior Women's 90 kg,2025-08-10T13:50:57.248Z,180,179,179,0,UPLOAD_STARTED,180
62,(Inactive) Junior Women's +90 kg,2025-08-10T13:52:46.273Z,66,66,66,0,UPLOAD_STARTED,104
63,(Inactive) Junior Women's +75 Kg,2025-08-10T13:56:46.254Z,234,234,234,0,UPLOAD_STARTED,235
64,(Inactive) Junior Women's 45kg,2025-08-10T13:58:15.740Z,25,25,25,0,UPLOAD_STARTED,84
65,(Inactive) Junior Women's 49kg,2025-08-10T13:59:58.151Z,79,79,79,0,UPLOAD_STARTED,97
66,(Inactive) Junior Women's 55kg,2025-08-10T14:03:22.200Z,202,201,201,0,UPLOAD_STARTED,199
67,(Inactive) Junior Women's 59kg,2025-08-10T14:07:11.571Z,215,211,211,0,UPLOAD_STARTED,224
68,(Inactive) Junior Women's 64kg,2025-08-10T14:11:34.954Z,252,250,250,0,UPLOAD_STARTED,258
69,(Inactive) Junior Women's 71kg,2025-08-10T14:15:50.472Z,242,242,242,0,UPLOAD_STARTED,251
70,(Inactive) Junior Women's 76kg,2025-08-10T14:18:32.158Z,122,122,122,0,UPLOAD_STARTED,157
71,(Inactive) Junior Women's 81kg,2025-08-10T14:20:28.729Z,90,89,89,0,UPLOAD_STARTED,112
72,(Inactive) Junior Women's 87kg,2025-08-10T14:22:17.539Z,61,61,61,0,UPLOAD_STARTED,104
73,(Inactive) Junior Women's +87kg,2025-08-10T14:24:11.896Z,79,79,79,0,UPLOAD_STARTED,109
_2023
