4,Men's 13 Under Age Group +69 Kg
5,-
6,-
7,-
8,Open Men's 81kg
9,-
10,Open Men's 89kg
11,Open Men's 85 kg
12,Men's Masters (45-49) 67kg
13,Women's Masters (35-39) 63 kg
14,Open Men's 89kg
15,Open Women's 59kg
