division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
50,(Inactive) Women's Masters (60-64) 55kg,2025-08-09T21:02:30.904Z,11,11,11,0,UPLOAD_STARTED,60
51,(Inactive) Women's Masters (60-64) 59kg,2025-08-09T21:03:36.338Z,9,9,9,0,UPLOAD_STARTED,60
52,(Inactive) Women's Masters (60-64) 64kg,2025-08-09T21:04:43.464Z,8,8,8,0,UPLOAD_STARTED,62
53,(Inactive) Women's Masters (60-64) 71kg,2025-08-09T21:05:47.742Z,9,9,9,0,UPLOAD_STARTED,59
54,(Inactive) Women's Masters (60-64) 76kg,2025-08-09T21:06:45.071Z,6,6,6,0,UPLOAD_STARTED,52
55,(Inactive) Women's Masters (60-64) 81kg,2025-08-09T21:07:42.103Z,6,6,6,0,UPLOAD_STARTED,52
56,(Inactive) Women's Masters (60-64) 87kg,2025-08-09T21:08:38.341Z,3,3,3,0,UPLOAD_STARTED,51
57,(Inactive) Women's Masters (60-64) +87kg,2025-08-09T21:09:34.530Z,2,2,2,0,UPLOAD_STARTED,51
58,(Inactive) Women's Masters (65-69) +75 kg,2025-08-09T21:10:30.431Z,0,0,0,NO_UPLOAD_NEEDED,1754773779531,NaN
59,(Inactive) Women's Masters (65-69) 48 kg,2025-08-09T21:11:26.321Z,0,0,0,NO_UPLOAD_NEEDED,1754773835432,NaN
60,(Inactive) Women's Masters (65-69) 53 kg,2025-08-09T21:12:22.352Z,2,2,2,0,UPLOAD_STARTED,51
61,(Inactive) Women's Masters (65-69) 58 kg,2025-08-09T21:13:18.680Z,5,5,5,0,UPLOAD_STARTED,51
62,(Inactive) Women's Masters (65-69) 63 kg,2025-08-09T21:14:15.637Z,11,11,11,0,UPLOAD_STARTED,52
63,(Inactive) Women's Masters (65-69) 69 kg,2025-08-09T21:15:12.875Z,13,13,13,0,UPLOAD_STARTED,52
64,(Inactive) Women's Masters (65-69) 75 kg,2025-08-09T21:16:10.510Z,15,15,15,0,UPLOAD_STARTED,53
65,(Inactive) Women's Masters (65-69) 90 kg,2025-08-09T21:17:06.559Z,0,0,0,NO_UPLOAD_NEEDED,1754774175511,NaN
66,(Inactive) Women's Masters (65-69) +90 kg,2025-08-09T21:18:02.608Z,0,0,0,NO_UPLOAD_NEEDED,1754774231559,NaN
67,(Inactive) Women's Masters (65-69) 45kg,2025-08-09T21:18:58.727Z,0,0,0,NO_UPLOAD_NEEDED,1754774287611,NaN
68,(Inactive) Women's Masters (65-69) 49kg,2025-08-09T21:19:54.871Z,Unknown,1,1,0,UPLOAD_STARTED,51
69,(Inactive) Women's Masters (65-69) 55kg,2025-08-09T21:20:50.720Z,Unknown,1,1,0,UPLOAD_STARTED,51
70,(Inactive) Women's Masters (65-69) 59kg,2025-08-09T21:21:46.991Z,4,4,4,0,UPLOAD_STARTED,51
71,(Inactive) Women's Masters (65-69) 64kg,2025-08-09T21:22:43.517Z,5,5,5,0,UPLOAD_STARTED,52
72,(Inactive) Women's Masters (65-69) 71kg,2025-08-09T21:23:39.716Z,4,4,4,0,UPLOAD_STARTED,51
73,(Inactive) Women's Masters (65-69) 76kg,2025-08-09T21:24:35.738Z,0,0,0,NO_UPLOAD_NEEDED,1754774624718,NaN
74,(Inactive) Women's Masters (65-69) 81kg,2025-08-09T21:25:31.647Z,0,0,0,NO_UPLOAD_NEEDED,1754774680740,NaN
75,(Inactive) Women's Masters (65-69) 87kg,2025-08-09T21:26:27.583Z,0,0,0,NO_UPLOAD_NEEDED,1754774736648,NaN
76,(Inactive) Women's Masters (65-69) +87kg,2025-08-09T21:27:23.836Z,0,0,0,NO_UPLOAD_NEEDED,1754774792585,NaN
77,(Inactive) Women's Masters (70-74) +75 kg,2025-08-09T21:28:19.890Z,Unknown,1,1,0,UPLOAD_STARTED,51
78,(Inactive) Women's Masters (70-74) 48 kg,2025-08-09T21:29:15.960Z,0,0,0,NO_UPLOAD_NEEDED,1754774904891,NaN
79,(Inactive) Women's Masters (70-74) 53 kg,2025-08-09T21:30:12.036Z,2,2,2,0,UPLOAD_STARTED,51
80,(Inactive) Women's Masters (70-74) 58 kg,2025-08-09T21:31:08.362Z,4,4,4,0,UPLOAD_STARTED,51
81,(Inactive) Women's Masters (70-74) 63 kg,2025-08-09T21:32:04.685Z,4,4,4,0,UPLOAD_STARTED,51
82,(Inactive) Women's Masters (70-74) 69 kg,2025-08-09T21:33:01.228Z,5,5,5,0,UPLOAD_STARTED,52
83,(Inactive) Women's Masters (70-74) 75 kg,2025-08-09T21:33:57.796Z,5,5,5,0,UPLOAD_STARTED,52
