Division
Men's 11 Under Age Group 65+kg
Open Women's 77kg
Open Women's 86+kg
Open Men's 79kg
Open Men's 88kg
Open Men's 94kg
Open Men's 110kg
(Inactive) Men's 13 Under Age Group +73kg
(Inactive) Open Women's +75 kg
Junior Women's 77kg
(Inactive) Men's Masters (35-39) 81kg
(Inactive) Men's Masters (35-39) 89kg
(Inactive) Junior Women's 48 kg
(Inactive) Junior Women's 69 kg
(Inactive) Junior Women's 75 kg
(Inactive) Junior Women's +75 Kg
(Inactive) Junior Women's 64kg
(Inactive) Junior Women's 71kg
(Inactive) Junior Men's 77 kg
(Inactive) Junior Men's 85 kg
(Inactive) Junior Men's 94 kg
(Inactive) Junior Men's 73kg
(Inactive) Junior Men's 81kg
(Inactive) Junior Men's 89kg
(Inactive) Women's Masters (35-39) +75 kg
(Inactive) Women's Masters (35-39) 63 kg
(Inactive) Women's Masters (35-39) 69 kg
(Inactive) Women's Masters (35-39) 75 kg
(Inactive) Women's Masters (35-39) 64kg
(Inactive) Women's Masters (35-39) 71kg
(Inactive) Women's Masters (40-44) 69 kg
(Inactive) Women's Masters (40-44) 75 kg
(Inactive) Open Women's 58 kg
(Inactive) Open Women's 63 kg
(Inactive) Open Women's 69 kg
(Inactive) Open Women's 75 kg
(Inactive) Open Women's 90 kg
(Inactive) Open Women's 55kg
(Inactive) Open Women's 59kg
(Inactive) Open Women's 64kg
(Inactive) Open Women's 71kg
(Inactive) Open Women's 76kg
(Inactive) Open Women's 81kg
(Inactive) Open Men's 69 kg
(Inactive) Open Men's 77 kg
(Inactive) Open Men's 85 kg
(Inactive) Open Men's 94 kg
(Inactive) Open Men's 105 kg
(Inactive) Open Men's +105 kg
(Inactive) Open Women's +87kg
(Inactive) Men's Masters (35-39) 96kg
(Inactive) Men's Masters (35-39) 85 kg
(Inactive) Open Men's 73kg
(Inactive) Open Men's 81kg
(Inactive) Open Men's 89kg
(Inactive) Open Men's 96kg
(Inactive) Men's Masters (35-39) 94 kg
(Inactive) Men's Masters (35-39) 105 kg
(Inactive) Open Men's 102kg
(Inactive) Open Men's 109kg
(Inactive) Men's Masters (35-39) +105 kg
