division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds,success_percentage
1,Women's 11 Under Age Group 36kg,2025-08-10T21:56:03.649Z,56,56,56,0,UPLOAD_STARTED,282,100
2,Women's 11 Under Age Group 40kg,2025-08-10T21:57:27.612Z,43,43,43,0,UPLOAD_STARTED,79,100
3,Women's 11 Under Age Group 44kg,2025-08-10T21:59:22.954Z,86,86,86,0,UPLOAD_STARTED,110,100
4,Women's 11 Under Age Group 48kg,2025-08-10T22:03:07.803Z,284,284,284,0,UPLOAD_STARTED,220,100
5,Women's 11 Under Age Group 53kg,2025-08-10T22:08:57.437Z,638,637,637,0,UPLOAD_STARTED,345,100
6,Women's 11 Under Age Group 58kg,2025-08-10T22:16:16.654Z,1104,1104,1104,0,UPLOAD_STARTED,434,100
7,Women's 11 Under Age Group 63kg,2025-08-10T22:29:05.538Z,1403,1401,1401,0,UPLOAD_STARTED,764,100
