division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds,success_percentage
1,Women's 11 Under Age Group 36kg,2025-08-10T21:55:36.138Z,33,33,33,0,UPLOAD_STARTED,293,100
2,Women's 11 Under Age Group 40kg,2025-08-10T21:56:55.008Z,35,35,35,0,UPLOAD_STARTED,74,100
3,Women's 11 Under Age Group 44kg,2025-08-10T21:58:52.881Z,54,54,54,0,UPLOAD_STARTED,113,100
4,Women's 11 Under Age Group 48kg,2025-08-10T22:02:35.628Z,211,211,211,0,UPLOAD_STARTED,218,100
5,Women's 11 Under Age Group 53kg,2025-08-10T22:07:45.354Z,514,514,514,0,UPLOAD_STARTED,305,100
6,Women's 11 Under Age Group 58kg,2025-08-10T22:14:20.998Z,899,897,897,0,UPLOAD_STARTED,391,100
7,Women's 11 Under Age Group 63kg,2025-08-10T22:21:11.528Z,1101,1082,1082,0,UPLOAD_STARTED,405,98
