division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds,success_percentage
1,Women's 11 Under Age Group 36kg,2025-08-10T21:40:10.281Z,16,16,16,0,UPLOAD_STARTED,286,100
2,Women's 11 Under Age Group 40kg,2025-08-10T21:41:17.058Z,13,13,13,0,UPLOAD_STARTED,62,100
3,Women's 11 Under Age Group 44kg,2025-08-10T21:42:27.609Z,30,30,30,0,UPLOAD_STARTED,66,100
4,Women's 11 Under Age Group 48kg,2025-08-10T21:43:59.139Z,104,104,104,0,UPLOAD_STARTED,87,100
5,Women's 11 Under Age Group 53kg,2025-08-10T21:46:08.190Z,250,250,250,0,UPLOAD_STARTED,124,100
6,Women's 11 Under Age Group 58kg,2025-08-10T21:49:05.842Z,418,418,418,0,UPLOAD_STARTED,173,100
7,Women's 11 Under Age Group 63kg,2025-08-10T21:52:08.833Z,462,462,462,0,UPLOAD_STARTED,178,100
8,Women's 11 Under Age Group 63+kg,2025-08-10T21:59:30.103Z,1065,1065,1065,0,UPLOAD_STARTED,436,100
9,Men's 11 Under Age Group 40kg,2025-08-10T22:01:13.802Z,58,58,58,0,UPLOAD_STARTED,99,100
10,Men's 11 Under Age Group 44kg,2025-08-10T22:02:26.683Z,34,34,34,0,UPLOAD_STARTED,68,100
11,Men's 11 Under Age Group 48kg,2025-08-10T22:03:35.388Z,51,51,51,0,UPLOAD_STARTED,64,100
12,Men's 11 Under Age Group 52kg,2025-08-10T22:05:07.614Z,56,56,56,0,UPLOAD_STARTED,87,100
13,Men's 11 Under Age Group 56kg,2025-08-10T22:06:29.119Z,101,100,100,0,UPLOAD_STARTED,77,99
14,Men's 11 Under Age Group 60kg,2025-08-10T22:08:07.164Z,98,98,98,0,UPLOAD_STARTED,93,100
15,Men's 11 Under Age Group 65kg,2025-08-10T22:11:05.045Z,210,209,209,0,UPLOAD_STARTED,172,100
